,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,location
567,(110m2) The Peak Eiffel tower,48.85768,2.2906,6,695,Entire Place,5,18,5,48.85768 2.2906
568,My Maison - Louvre - Appartement 3 pièces Avec Vue,48.8642,2.342,6,664,Entire Place,5,2,5,48.8642 2.342
570,Stylish 2BED apartment in the Marais area with superior interior design,48.8644,2.35835,6,1103,Entire Place,4.5,1,5,48.8644 2.35835
572,Luxury 6Bdr 5Bth in Heritage Building - LOUVRE VIEW,48.86253,2.33848,12,960,Entire Place,5,2,5,48.86253 2.33848
573,Louvre Palais Royal Amazing Three/Four Bedroom,48.86668,2.3381,10,953,Entire Place,5,2,5,48.86668 2.3381
574,A Wonderful 3BR/3BA in Louvre / Saint Honoré,48.862,2.341,8,794,Entire Place,5,2,5,48.862 2.341
576,B7 · B7 · B7 · B7 · B7 · B7 · B7 · B7 · Sublime Duplex 145m² at Saint Germain des Prés,48.84923,2.32886,6,997,Entire Place,5,15,5,48.84923 2.32886
577,Séjours Parisiens / L'Étoile / 5*,48.876,2.296,6,700,Entire Place,5,18,5,48.876 2.296
578,Champs Elysées Montaigne,48.86557,2.30229,6,1800,Entire Place,5,18,5,48.86557 2.30229
579,*Sanitized* Fancy Designer Flat on Saint-Honoré,48.87322,2.31385,5,746,Entire Place,5,7,5,48.87322 2.31385
580,Deluxe Penthouse w/Balcony Heart of Paris,48.857,2.342,2,680,Entire Place,5,15,5,48.857 2.342
581,Extraordinary Apt 6 pers - Louvre Museum/Tuileries,48.864,2.332,6,855,Entire Place,5,2,5,48.864 2.332
582,8 Guests Champs Elysées,48.87439,2.28378,8,1500,Entire Place,4,18,5,48.87439 2.28378
584,86 - Urban Lovely Apartment,48.86736,2.35136,7,1351,Entire Place,4.5,2,5,48.86736 2.35136
585,1618 B - Eiffel Tower breathtaking view,48.8582,2.28658,5,768,Entire Place,4,3,5,48.8582 2.28658
586,Enchanting apartment in 17th century building at Saint- Germain des Prés/Louvre,48.85767,2.33615,4,650,Entire Place,5,15,5,48.85767 2.33615
587,My Maison - Louvre -Appartement 3P - Esprit Loft,48.86248,2.34433,6,656,Entire Place,5,2,5,48.86248 2.34433
588,Sweet Inn | Modern 4BR near the Champs-Élysées,48.866,2.303,9,2203,Entire Place,4.5,18,5,48.866 2.303
589,a DIAMOND in Saint Germain des Prés,48.85577,2.33747,2,1500,Entire Place,5,15,5,48.85577 2.33747
590,Residence Saint Honoré,48.86404,2.3309,6,692,Entire Place,5,2,5,48.86404 2.3309
